,MXWO0EN Index,MXWO0MT Index,MXWO0IN Index,MXWO0CD Index,MXWO0CS Index,MXWO0HC Index,MXWO0FN Index,MXWO0IT Index,MXWO0TC Index,MXWO0UT Index,MXWO0RE Index,MSDUBE,MSDUAS,MSDUSW,MSDUFI,MSDUSG,MSDUNE,MSDUSZ,MSDUAT,MSDUFR,MSDUUK,MSDUNZ,MSDUJN,MSDUSP,MSDUCA,MXUS,MXIL,MSDUSPT,MSDUIT,MSDUHK,MSDUIE,MSDUDE,MSDUNO,MSDUGR,VOW3 GY Equity
25/07/2002,0.022073331,0.009121951,0.002645186,-0.01137767,0.02999652,0.033112444,0.016887111,-0.056412354,0.029699807,0.022847952,0.003445405,0.060257376,0.01106632,0.058440225,0.022072373,-0.003652809,0.053257538,0.065502749,0.034503381,0.047252957,0.049282131,0.010888305,-0.012093819,0.063413427,-0.00975319,-0.00671237,-0.0102438,0.019397622,0.027930208,-0.016470586,0.035151539,0.055613226,0.048213746,-0.021882685,-0.004154411
26/07/2002,0.008599988,-0.011653063,0.00347618,-0.001884741,-0.000779203,0.025051308,0.010012502,-0.005111305,-0.000266064,-0.006106399,-0.005897753,-0.010255922,-0.023191465,-0.05357743,-0.003645062,-0.02767607,-0.009635526,0.01147302,-0.010881222,-0.005993252,0.006294574,-0.024886011,-0.045233156,-0.014410113,0.003225737,0.018382871,0.005641446,-0.010123643,-0.006414227,-0.0177972,-0.0093884,-0.022989518,-0.004715123,0.003460677,-0.017392351
29/07/2002,0.041754032,0.036394043,0.047096394,0.04594598,0.028387843,0.041010191,0.052613039,0.056439547,0.035036263,0.015514106,0.019999562,0.056352127,0.01479748,0.080632292,0.054692576,0.005066388,0.054411257,0.03062773,-0.001913365,0.053176809,0.040674912,0.027361357,-0.001616722,0.044097397,0.032073671,0.053499731,0.056433078,0.012015011,0.03379052,0.021552264,0.010614317,0.03651627,0.010203078,0.063263035,0.083761373
30/07/2002,0.002079455,-0.008384507,0.013267757,0.008144154,-0.004503023,0.008709824,0.001635044,0.019340718,0.002053389,0.033859229,0.014444997,0.011814384,0.030676296,0.023279948,0.025961662,0.009129071,-0.006382299,0.000521225,0.013649045,0.005723144,0.003715873,0.018302755,0.025817171,-0.052051429,0.002776876,0.004789891,0.012679798,-0.005672689,0.013059825,0.015873203,0.001795927,0.006617886,0.021528651,0.014246044,0.050669784
31/07/2002,0.021484709,-0.00762733,-0.001804037,-0.006759113,0.01218405,0.017409658,0.00824419,-0.015714912,0.015014915,0.002298675,0.009550966,-0.004715448,0.001572993,0.006333738,-0.006455935,-0.007148391,0.020444533,-0.008213008,-0.027572203,0.006442859,0.009182204,-0.021204416,-0.008864339,-0.023597567,0.004645578,0.009954409,-0.003470947,-0.002378238,-0.000265185,0.006973533,0.024588956,-0.007410737,0.003895438,-0.052428084,0.030812805
01/08/2002,-0.060859154,-0.017114056,-0.019716862,-0.028072019,-0.015558764,-0.025951268,-0.029574159,-0.044809151,-0.032604608,-0.018539076,0.026662626,-0.049862286,-0.013638998,-0.02455721,-0.034427018,0.004759553,-0.058557216,-0.013749005,0.000548226,-0.047287874,-0.051619099,-0.006241802,-0.003824628,-0.028938312,-0.010028515,-0.031138795,-0.010485718,-0.001539721,-0.02679049,-0.009849199,0.006118025,2.50E-05,0.000274291,-0.0233951,-0.054103796
02/08/2002,0.002079982,-0.026665402,-0.028486633,-0.027857759,0.009867784,0.004209065,-0.018034131,-0.028799018,0.005465206,0.000779363,-0.05526386,-0.015163611,-0.010001474,-0.032477431,-0.033188135,0.00072603,-0.014292166,-0.010118931,-0.01547519,0.004257901,0.016587153,-0.006888881,-0.002469803,0.014971763,-0.00681643,-0.023105826,-0.001385116,-0.016038411,-0.000448163,-0.015160873,0.004810194,1.25E-05,-0.013423326,-0.016241042,-0.002498539
05/08/2002,-0.019666794,-0.032631294,-0.0309086,-0.029560266,-0.016480724,-0.031822265,-0.031378962,-0.039256739,-0.035935174,-0.010022007,0.103974788,-0.028056414,-0.028304837,-0.044054945,-0.044636262,-0.021008856,-0.031751777,-0.035587138,-0.004345612,-0.036985148,-0.020674262,0.003195197,0.001088541,-0.026735283,-0.003610661,-0.035322019,-0.028551739,-0.024837089,-0.017038479,-0.020448935,-0.014606908,-0.034764617,-0.030704839,-0.056743966,-0.049030859
07/08/2002,0.029953797,0.027429158,0.039281784,0.030876729,0.012227429,0.039459074,0.02999574,0.063159786,-0.002424244,0.022102067,-0.008255057,0.018753247,0.026489254,0.025651651,0.035616774,0.001801505,0.027444653,0.020213324,-0.007442977,0.029215913,0.00146795,-0.001228943,0.000127788,0.008755869,-0.00060882,0.049855916,0.023742239,-0.032262115,0.00899124,0.004607712,0.006214035,0.012932253,0.00292853,0.022388668,0.055312743
08/08/2002,0.038787818,0.021499269,0.024592354,0.011915282,0.021123076,0.038047147,0.036960688,0.029558802,0.03106582,0.016488923,-0.105771177,0.030432276,0.002153081,0.018614919,0.026229809,-0.007444621,0.044987985,0.033156647,0.003930457,0.031497873,0.031957039,0.006732639,-0.003603375,0.055042001,0.023220604,0.033022909,0.01414842,0.022751461,0.02749091,-0.003191017,0.000647759,-0.006788979,0.015723604,0.057813945,0.025016453
13/08/2002,-0.000569394,0.004456714,-0.021075352,-0.00914176,0.002778312,-0.018673322,-0.006581233,-0.024907062,-0.006294277,0.011741818,-0.005789373,0.004266908,0.019095013,0.016447014,0.047156541,0.037720217,0.014923558,0.021074248,0.00697955,0.005148444,0.008043016,0.029340085,0.00691009,-0.013703373,-0.007033167,-0.024547157,-0.011153124,0.020318968,0.017197376,-0.005934301,0.044322364,0.025368576,0.021590944,0.009247471,0.021706655
14/08/2002,0.006644481,0.002220931,0.017171788,0.024337006,0.018569243,0.020603931,0.014237379,0.045578617,0.015402993,0.012788278,0.002453442,-0.011474362,-0.004564978,-0.010852237,-0.0332553,0.007046133,-0.019338477,0.004256076,0.016741326,-0.034550919,-0.015017208,-0.001402773,0.01802475,-0.021262104,0.009497531,0.039428314,0.017050982,0.002869298,-0.019842177,-0.014178151,0.013441063,-0.004055731,-0.003036226,-0.015973692,-0.017144142
